,Date,Time,Header,Info,Length,Header,PayLoad
0,2021 Apr 14,04:46:29.811, 0xB80D  NR5G NAS MM5G Service Request,"Subscription ID = 1
Misc ID = 0
Version= 1
Sub Id = 0
Trans Id = 84017153
Net Selection Mode = AUTOMATIC
Req PLMN
 Identity= { 0x04, 0x45, 0x78 }
RatPriority List
 Num Items = 4
 Next Acq Sys Index= 0
 Priority List Info

| |Acq |Band Cap|BST RAT |BST Band Cap|Acq Sys |
| |Sys ||LTE Band Cap |NR5G Band Cap|Acq ||LTE Band Cap |NR5G Band Cap|Time|
|#|Mode|CHGWT Band Cap|Bits_1_64 |Bits_65_128 |Bits_129_192|Bits_193_256|Bits_1_64 |Bits_65_128 |Bits_129_192|Bits_193_256|Bits_257_320|Bits_321_384|Bits_385_448|Bits_449_512|Required|CHGWT Band Cap|Bits_1_64 |Bits_65_128 |Bits_129_192|Bits_193_256|Bits_1_64 |Bits_65_128 |Bits_129_192|Bits_193_256|Bits_257_320|Bits_321_384|Bits_385_448|Bits_449_512|Interval|

|0|NR5G 0|8192| 0| 0| 0| 0| 0| 0|true 0|8192| 0| 0| 0| 0| 0| 0| 0|
|1| LTE|| 1649267441813| 0| 0| 0 false|| 0|
|2|WCDMA| 562950203507072| (empty)|| (empty)|

Req Type = (empty)
Emc Srv Pending= (empty)
Scan Scope = (empty)
Ehplmn Camping Allowed = (empty)
Is Scan New= (empty)
Use Timer= (empty)
NR5G Scan Time = (empty)
Attempt Counter= (empty)","295
","  27 01 0D B8 AD 69 28 36 C9 97 F2 00 
 ", 01 00 00 00 00 01 00 02 05 00 04 4578 04 00 00 00 00 00 00 00 0C 00 0000 00 00 00 00 00 00 20 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 01 00 00 00 00 00 00 00 00 0020 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0995 00 00 00 80 01 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 01 95 00 0000 80 01 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 05 80 01E8 0E 00 00 02 00 01 80 01 E8 0E 0000 02 00 00 00 00 00 03 80 01 E8 0E00 00 02 00 01 80 01 E8 0E 00 00 0200 00 00 00 00 00 00 00 00 01 01 0100 00 00 00 00 01 00 
1,2021 Apr 14,04:46:29.811, 0xB80C  NR5G NAS MM5G State,"Subscription ID = 1
Misc ID = 0
Version = 1
MM5G State= DEREGISTERED
Mm5g Deregistered Substate =
PLMN ID
 Identity = { 0x00, 0x00, 0x00 }
GUTI
 UE Id= 5G_GUTI
 GUTI PLMN ID
Identity = { 0x04, 0x45, 0x78 }
 AMF Region ID= 0x01
 AMF Set ID = 0x000D
 AMF Pointer= 0x14
 5G TMSI= { 0x13, 0x00, 0x00, 0x00 }
MM5G Update Status= UPDATED
NR5G TAC
 Octet= { 0, 0, 0 }","38
","  26 00 0C B8 A1 74 28 36 C9 97 F2 00 
 ", 01 00 00 00 01 01 00 00 00 00 02 0445 78 01 0D 00 14 13 00 00 00 00 0000 00 
2,2021 Apr 14,04:46:29.899, 0xB822  NR5G RRC MIB Info,"Subscription ID = 1
Misc ID = 0
Version = 3
Physical Cell ID= 14
DL Frequency= 633312
SFN = 970
Block Index = 0
Half Number = 0
Intra Freq Reselection= ALLOWED
Cell Barred = NOT_BARRED
PDCCH Config SIB1 = 160
DMRS TypeA Position = POS2
SSB Subcarrier Offset = 14
Subcarrier Spacing Common = SCSC30","26
","  1A 00 22 B8 F9 25 6F 36 C9 97 F2 00 
 ", 03 00 00 00 0E 00 E0 A9 09 00 CA 83A0 7A 
3,2021 Apr 14,04:46:29.928, 0xB888  NR5G MAC PDSCH Stats,"Subscription ID = 1
Misc ID = 0
Major.Minor Version = 2. 2
Log Fields Change
 DL Config= 181
 UL Config= 5
 ML1 State Change = 6
Log Fields Change BMask= 0x70
Num Records= 1
Num Total Slots= 10
Num CA = 1
Cumulative Bitmask = 0x01

| ||Num Slots |Num PDSCH |Num CRC |Num CRC ||ACK As|HARQ|
|#|Carrier ID|Elapsed |Decode|Pass TB |Fail TB |Num ReTx|NACK|Failure |CRC Pass TB Bytes |CRC Fail TB Bytes |TB Bytes|Padding Bytes |ReTx Bytes|BLER|

|0| 0|10| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0|NA|","112
","  70 00 88 B8 D8 4F 86 36 C9 97 F2 00 
 ", 02 00 02 00 00 00 00 00 B5 65 00 0070 00 00 01 A0 00 00 10 01 00 00 0000 00 00 00 00 00 00 00 0A 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 
4,2021 Apr 14,04:46:29.928, 0xB881  NR5G MAC UL TB Stats,"Subscription ID = 1
Misc ID = 0
Major.Minor= 2. 1
Log Fields Change BMask= 0x0000
Num Records= 1
TB New Tx Bytes= 0
TB ReTx Bytes= 0
Num MCS= 0
Num PRB= 0
PHR= 0
Total Power= 0
Num New TX TB= 0
Num ReTx TB= 0
Num RI = 0
RI = 0
Num CQI= 0
CQI= 0
Num PHR= 0
TPC Accum= 0
Num ULSCH Sched= 0
Num No ULSCH Sched = 0
Pcmax= 0 dbm10","128
","  80 00 81 B8 B6 50 86 36 C9 97 F2 00 
 ", 01 00 02 00 00 00 00 00 00 00 00 0000 00 00 01 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 
5,2021 Apr 14,04:46:29.933, 0xB888  NR5G MAC PDSCH Stats,"Subscription ID = 1
Misc ID = 0
Major.Minor Version = 2. 2
Log Fields Change
 ML1 State Change = 7
Log Fields Change BMask= 0x40
Num Records= 1
Num Total Slots= 20
Num CA = 1
Cumulative Bitmask = 0x01

| ||Num Slots |Num PDSCH |Num CRC |Num CRC ||ACK As|HARQ|
|#|Carrier ID|Elapsed |Decode|Pass TB |Fail TB |Num ReTx|NACK|Failure |CRC Pass TB Bytes |CRC Fail TB Bytes |TB Bytes|Padding Bytes |ReTx Bytes|BLER|

|0| 0|20| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0|NA|","112
","  70 00 88 B8 DF 51 8A 36 C9 97 F2 00 
 ", 02 00 02 00 00 00 00 00 00 70 00 0040 00 00 01 40 01 00 10 01 00 00 0000 00 00 00 00 00 00 00 14 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 
6,2021 Apr 14,04:46:29.933, 0xB881  NR5G MAC UL TB Stats,"Subscription ID = 1
Misc ID = 0
Major.Minor= 2. 1
Log Fields Change BMask= 0x0000
Num Records= 1
TB New Tx Bytes= 0
TB ReTx Bytes= 0
Num MCS= 0
Num PRB= 0
PHR= 0
Total Power= 0
Num New TX TB= 0
Num ReTx TB= 0
Num RI = 0
RI = 0
Num CQI= 0
CQI= 0
Num PHR= 0
TPC Accum= 0
Num ULSCH Sched= 0
Num No ULSCH Sched = 0
Pcmax= 0 dbm10","128
","  80 00 81 B8 C4 52 8A 36 C9 97 F2 00 
 ", 01 00 02 00 00 00 00 00 00 00 00 0000 00 00 01 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 
7,2021 Apr 14,04:46:29.938, 0xB888  NR5G MAC PDSCH Stats,"Subscription ID = 1
Misc ID = 0
Major.Minor Version = 2. 2
Log Fields Change
 ML1 State Change = 5
Log Fields Change BMask= 0x40
Num Records= 1
Num Total Slots= 30
Num CA = 1
Cumulative Bitmask = 0x01

| ||Num Slots |Num PDSCH |Num CRC |Num CRC ||ACK As|HARQ|
|#|Carrier ID|Elapsed |Decode|Pass TB |Fail TB |Num ReTx|NACK|Failure |CRC Pass TB Bytes |CRC Fail TB Bytes |TB Bytes|Padding Bytes |ReTx Bytes|BLER|

|0| 0|30| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0| 0|NA|","112
","  70 00 88 B8 91 4E 8E 36 C9 97 F2 00 
 ", 02 00 02 00 00 00 00 00 00 50 00 0040 00 00 01 E0 01 00 10 01 00 00 0000 00 00 00 00 00 00 00 1E 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 
8,2021 Apr 14,04:46:29.938, 0xB881  NR5G MAC UL TB Stats,"Subscription ID = 1
Misc ID = 0
Major.Minor= 2. 1
Log Fields Change BMask= 0x0000
Num Records= 1
TB New Tx Bytes= 0
TB ReTx Bytes= 0
Num MCS= 0
Num PRB= 0
PHR= 0
Total Power= 0
Num New TX TB= 0
Num ReTx TB= 0
Num RI = 0
RI = 0
Num CQI= 0
CQI= 0
Num PHR= 0
TPC Accum= 0
Num ULSCH Sched= 0
Num No ULSCH Sched = 0
Pcmax= 0 dbm10","128
","  80 00 81 B8 6E 4F 8E 36 C9 97 F2 00 
 ", 01 00 02 00 00 00 00 00 00 00 00 0000 00 00 01 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 00 00 00 0000 00 00 00 00 00 00 00 
9,2021 Apr 14,04:46:29.943, 0xB885  NR5G MAC DCI Info,"Subscription ID = 1
Misc ID = 0
Major.Minor Version= 2. 5
Log Fields Change BMask= 0
Num Records= 1
Records
 
 | | | |DCI Info|
 | | | | | | | || |DL|
 | | | | | | | ||UL | || | ||TPC| || | ||
 | | | | | | | || | | |  | || |  | | || | |DMRS| | |  || || | ||Command| |PDSCH | | ||
 | | | | | | | || | | |Freq  |UL |Symbol| | |Beta||UL | | |SRS |Precoding| |Seq | | | |Reserved|| ||Bandwidth|Time|TB |TB 1 New |DL|For|PUCCH|Harq|CBG |CBG || | ||
 | |System Time|Num|Carrier| | |Aggregation|Raw DCI |Carrier| | |Hopping||HARQ|PUSCH|SUL|Alloc |BWP|PTRS DMRS|Offset|RB|SCH|DAI|DAI|Resource|Layer|Antenna|Init|SRS|CSI| |MCE |RA| |Pruned|Part |Resource|1|Data |Assignment|Sched|Resource |Feedback|Transmission|Flushing|Transmission|SRS|Carrier|HARQ|
 |#|Slot|Num |Frame|DCI|ID |RNTI Type|DCI Format |Level|Included|Raw DCI[2]|Raw DCI[1]|Raw DCI[0]|ID |NDI|MCS|Flag |RV|ID|TPC|Ind|Index |Ind|Association|Ind |Assignment|Ind|1|2|Indication|Info |Ports|Flag|Request|Request|CBGTI|Enable|Type|Prune Reason MSB |Mask|Indicator|Assignment|MCS|Indicator|Index |PUCCH|Indicator|Timing|Info|Out Info|Config Ind|Request|ID |ID|
 
 |0| 0| 30kHz|978|1|0|SI_RNTI| DL_1_0|LEVEL_4| 0| | | |  | || |  | | || | || | |  ||0|11|9|0| 0|0|0| 0| 0| 0| 0|0|0| 0|","48
","  30 00 85 B8 1C 4E 92 36 C9 97 F2 00 
 ", 05 00 02 00 00 00 00 00 00 00 00 0000 00 00 01 00 01 D2 03 01 00 00 0010 09 00 00 6C 02 00 00 00 00 40 00 
